Date,EUR/HUF,BUBOR 3-MO,EURIBOR 3-MO,50%RMAX+50%ZMAX,ESTER
2020-04-06,-1.07,0.01,0.02,-0.005,0.006
2020-04-07,-3.4,-0.01,0.03,0.005,0
2020-04-08,-1.19,0.18,0.04,-0.025,-0.002
2020-04-09,-3.1,0,0.03,0.035,-0.001
2020-04-14,-3.91,0,-0.03,0.005,0.002
2020-04-15,-0.41,0,0,0.05,-0.001
2020-04-16,-1.19,-0.01,0.03,0.01,0.001
2020-04-17,0.41,0,-0.02,0.01,-0.004
2020-04-20,2.68,-0.01,-0.01,0.005,-0.003
2020-04-21,1.85,0.01,0.02,0,0
2020-04-22,-0.79,0,0.04,0.015,0.002
2020-04-23,2.74,0.01,0.03,0.01,0
2020-04-24,-0.89,0,-0.03,0.01,0
2020-04-27,-2.35,0,-0.03,0,0
2020-04-28,1.51,0,-0.01,0.005,-0.002
2020-04-29,0.42,0,-0.03,0.03,-0.002
2020-04-30,-2.72,-0.01,-0.01,-0.005,0.012
2020-05-04,0.38,0,-0.02,0,-0.012
2020-05-05,-1.33,0,-0.01,0.015,0.004
2020-05-06,-2.64,-0.01,0.03,0.005,-0.003
2020-05-07,1.14,0,0.01,0.02,0.001
2020-05-08,-0.99,0,0.01,0.015,0
2020-05-11,0.11,-0.01,-0.01,-0.005,-0.003
2020-05-12,1.02,0,0.01,0.015,0.001
2020-05-13,2.6,-0.01,0,0.01,0.001
2020-05-14,1.03,-0.01,-0.01,0.015,0.001
2020-05-15,-0.45,0,-0.01,0.005,-0.002
2020-05-18,0.11,-0.01,-0.01,0.015,0.001
2020-05-19,-2.02,-0.01,0.02,0,0
2020-05-20,-2.06,-0.02,-0.02,0,-0.003
2020-05-21,-0.92,-0.01,0,0.005,0
2020-05-22,0.57,-0.02,0,0.015,0.006
2020-05-25,0.97,-0.01,0,0.005,-0.001
2020-05-26,-0.87,-0.02,0.01,0.015,-0.001
2020-05-27,-0.41,-0.01,-0.01,0.01,0
2020-05-28,0.76,-0.01,-0.01,0.01,0
2020-05-29,-1.66,-0.02,-0.02,0.025,0.001
2020-06-02,-3.6,0,-0.02,0.005,-0.002
2020-06-03,1.19,-0.01,-0.01,0,-0.001
2020-06-04,-0.37,0,-0.01,0.015,-0.002
2020-06-05,-0.9,0,0,0,0.001
2020-06-08,-1.05,0,-0.02,0.005,-0.003
